排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'937', 'FirePro M5800', '用于移动工作站', '1.37', 'Terascale 2', '2010', '60 USD', '26 W'
'938', 'HD Graphics 515', '用于笔记本电脑', '1.37', 'Gen. 9 Skylake', '2015', '512 USD', '15 W'
'939', 'UHD Graphics 610', '用于笔记本电脑', '1.35', 'Gen. 9 Kaby Lake', '2019', '601 USD', '15 W'
'940', 'Mobility Radeon HD 5650', '用于笔记本电脑', '1.35', 'Terascale 2', '2010', '24 USD', '15 W'
'941', 'Mobility Radeon HD 3870', '用于笔记本电脑', '1.35', 'RV6xx', '2008', '−', '55 W'
'942', 'Quadro FX 5600', '用于工作站', '1.35', 'Tesla', '2007', '209 USD', '171 W'
'943', 'UHD Graphics (Jasper Lake 16 EU)', '用于笔记本电脑', '1.35', 'Gen. 11', '2021', '−', '4.8 W'
'944', 'GeForce GT 425M', '用于笔记本电脑', '1.34', 'Fermi', '2010', '45 USD', '23 W'
'945', 'HD Graphics 4400', '用于笔记本电脑', '1.34', 'Gen. 7.5 Haswell', '2013', '425 USD', '20 W'
'946', 'GeForce GT 240', '桌面', '1.34', 'GT2xx', '2009', '708 USD', '69 W'
'947', 'Radeon HD 8670M', '用于笔记本电脑', '1.34', 'GCN', '2012', '338 USD', '−'
'948', 'Mobility Radeon', '桌面', '1.34', 'Rage 6', '2001', '202 USD', '−'
'949', 'Radeon HD 6680G2', '用于笔记本电脑', '1.34', 'Terascale 2', '2011', '−', '−'
'950', 'Radeon R5 (Stoney Ridge)', '用于笔记本电脑', '1.33', 'GCN 1.2/2.0', '2016', '−', '12 W'
'951', 'Mobility Radeon HD 4830', '用于笔记本电脑', '1.33', 'Terascale 1', '2009', '−', '−'
'952', 'Radeon HD 6510G2', '用于笔记本电脑', '1.33', 'Terascale 2', '2011', '−', '−'
'953', 'Radeon HD 6520G + HD 7450M Dual Graphics', '用于笔记本电脑', '1.32', 'Terascale 2', '2012', '90 USD', '−'
'954', 'NVS 5200M', '用于移动工作站', '1.32', 'Fermi', '2012', '139 USD', '25 W'
'955', 'Radeon HD 6730M', '用于笔记本电脑', '1.32', 'Terascale 2', '2011', '338 USD', '35 W'
'956', 'Radeon HD 6550M', '用于笔记本电脑', '1.31', 'Terascale 2', '2010', '338 USD', '26 W'
'957', 'GeForce 820M', '用于笔记本电脑', '1.30', 'Fermi', '2014', '490 USD', '15 W'
'958', 'GeForce 9800 GTX+', '桌面', '1.30', 'Tesla', '2009', '151 USD', '141 W'
'959', 'GeForce GTS 150M', '用于笔记本电脑', '1.30', 'G9x', '2009', '230 USD', '45 W'
'960', 'Radeon HD 6540G2', '用于笔记本电脑', '1.29', 'Terascale 2', '2011', '−', '−'
'961', 'Radeon HD 7660D', '桌面', '1.29', 'Terascale 3', '2012', '41 USD', '100 W'
'962', 'Radeon HD 6530M', '用于笔记本电脑', '1.29', 'Terascale 2', '2010', '338 USD', '26 W'
'963', 'Radeon R7 M265DX', '桌面', '1.28', 'GCN 3.0', '2014', '−', '−'
'964', 'GeForce 8800 GT', '桌面', '1.27', 'Tesla', '2007', '166 USD', '125 W'
'965', 'GeForce 9600 GT', '桌面', '1.26', 'Tesla', '2008', '141 USD', '95 W'
'966', 'Radeon R5 M420', '用于笔记本电脑', '1.25', 'GCN', '2016', '−', '−'
'967', 'Radeon R7 M260', '用于笔记本电脑', '1.25', 'GCN', '2014', '430 USD', '−'
'968', 'GeForce GT 540M', '用于笔记本电脑', '1.25', 'Fermi', '2011', '283 USD', '35 W'
'969', 'Radeon HD 5570', '桌面', '1.24', 'Terascale 2', '2010', '149 USD', '39 W'
'970', 'Quadro K500M', '用于移动工作站', '1.23', 'Kepler', '2012', '20 USD', '35 W'
'971', 'GeForce 9800 GT', '桌面', '1.23', 'Tesla', '2008', '154 USD', '125 W'
'972', 'GeForce GT 625M', '用于笔记本电脑', '1.22', 'Fermi', '2012', '310 USD', '15 W'
'973', 'GeForce 800A', '桌面', '1.22', 'Fermi 2.0', '2014', '−', '15 W'
'974', 'GeForce 710A', '桌面', '1.22', 'Fermi 2.0', '2013', '−', '33 W'
'975', 'Radeon HD 7670M', '用于笔记本电脑', '1.22', 'Terascale 2', '2011', '338 USD', '20 W'
'976', 'Radeon R5 M315', '用于笔记本电脑', '1.22', 'GCN', '2015', '−', '−'
'977', 'Radeon HD 7660G', '用于笔记本电脑', '1.22', 'Terascale 3', '2012', '950 USD', '35 W'
'978', 'GeForce 800M', '桌面', '1.21', 'Fermi 2.0', '2014', '163 USD', '15 W'
'979', 'Radeon R5 (Kaveri)', '用于笔记本电脑', '1.20', 'GCN 1.1', '2014', '−', '−'
'980', 'Quadro FX 3600M', '用于移动工作站', '1.20', 'G9x', '2008', '80 USD', '70 W'
'981', 'Quadro FX 1800M', '用于移动工作站', '1.20', 'GT2xx', '2010', '309 USD', '45 W'
'982', 'GeForce 710M', '用于笔记本电脑', '1.20', 'Fermi', '2013', '44 USD', '15 W'
'983', 'GeForce GT 720M', '用于笔记本电脑', '1.20', 'Fermi', '2013', '499 USD', '18 W'
'984', 'Radeon HD 7550M', '用于笔记本电脑', '1.19', 'Terascale 2', '2012', '338 USD', '14 W'
'985', 'Mobility Radeon HD 4670', '用于笔记本电脑', '1.19', 'Terascale 1', '2009', '143 USD', '35 W'
'986', 'GeForce 8800M GTX', '用于笔记本电脑', '1.19', 'G9x', '2007', '160 USD', '65 W'
'987', 'Radeon HD 7560D', '桌面', '1.18', 'Terascale 3', '2012', '39 USD', '65 W'
'988', 'Radeon HD 7640G', '用于笔记本电脑', '1.18', 'Terascale 3', '2012', '338 USD', '35 W'
'989', 'Radeon HD 6480G + HD 7450M Dual Graphics', '用于笔记本电脑', '1.18', 'Terascale 2', '2012', '90 USD', '−'
